,volume,time,Open,High,Low,Close,Pair
0,2294,2017-06-08T13:00:00.000000000Z,0.75455,0.75492,0.75300,0.75464,AUD_USD
1,839,2017-06-08T17:00:00.000000000Z,0.75460,0.75497,0.75384,0.75477,AUD_USD
2,3108,2017-06-08T21:00:00.000000000Z,0.75448,0.75478,0.75240,0.75342,AUD_USD
3,1454,2017-06-09T01:00:00.000000000Z,0.75342,0.75438,0.75304,0.75334,AUD_USD
4,1758,2017-06-09T05:00:00.000000000Z,0.75330,0.75424,0.75254,0.75336,AUD_USD
5,767,2017-06-09T09:00:00.000000000Z,0.75340,0.75372,0.75264,0.75270,AUD_USD
6,1324,2017-06-09T13:00:00.000000000Z,0.75270,0.75359,0.75194,0.75334,AUD_USD
7,941,2017-06-09T17:00:00.000000000Z,0.75328,0.75354,0.75272,0.75300,AUD_USD
8,828,2017-06-11T21:00:00.000000000Z,0.75326,0.75355,0.75264,0.75344,AUD_USD
9,525,2017-06-12T01:00:00.000000000Z,0.75346,0.75368,0.75220,0.75242,AUD_USD
10,955,2017-06-12T05:00:00.000000000Z,0.75245,0.75376,0.75245,0.75364,AUD_USD
11,733,2017-06-12T09:00:00.000000000Z,0.75364,0.75474,0.75352,0.75392,AUD_USD
12,1101,2017-06-12T13:00:00.000000000Z,0.75386,0.75461,0.75312,0.75312,AUD_USD
13,1010,2017-06-12T17:00:00.000000000Z,0.75316,0.75452,0.75260,0.75416,AUD_USD
14,1586,2017-06-12T21:00:00.000000000Z,0.75405,0.75649,0.75390,0.75590,AUD_USD
15,1067,2017-06-13T01:00:00.000000000Z,0.75592,0.75642,0.75511,0.75556,AUD_USD
16,1158,2017-06-13T05:00:00.000000000Z,0.75558,0.75582,0.75392,0.75441,AUD_USD
17,947,2017-06-13T09:00:00.000000000Z,0.75445,0.75474,0.75288,0.75288,AUD_USD
18,1153,2017-06-13T13:00:00.000000000Z,0.75282,0.75422,0.75244,0.75382,AUD_USD
19,487,2017-06-13T17:00:00.000000000Z,0.75388,0.75415,0.75351,0.75370,AUD_USD
20,955,2017-06-13T21:00:00.000000000Z,0.75382,0.75412,0.75325,0.75384,AUD_USD
21,791,2017-06-14T01:00:00.000000000Z,0.75388,0.75454,0.75328,0.75416,AUD_USD
22,1540,2017-06-14T05:00:00.000000000Z,0.75420,0.75814,0.75420,0.75803,AUD_USD
23,2557,2017-06-14T09:00:00.000000000Z,0.75804,0.76280,0.75752,0.76259,AUD_USD
24,2645,2017-06-14T13:00:00.000000000Z,0.76254,0.76358,0.76168,0.76186,AUD_USD
25,7328,2017-06-14T17:00:00.000000000Z,0.76184,0.76360,0.75676,0.75890,AUD_USD
26,1860,2017-06-14T21:00:00.000000000Z,0.75854,0.75941,0.75850,0.75887,AUD_USD
27,2799,2017-06-15T01:00:00.000000000Z,0.75888,0.76314,0.75840,0.76124,AUD_USD
28,1617,2017-06-15T05:00:00.000000000Z,0.76130,0.76166,0.75958,0.76053,AUD_USD
29,2191,2017-06-15T09:00:00.000000000Z,0.76054,0.76081,0.75709,0.75766,AUD_USD
30,2228,2017-06-15T13:00:00.000000000Z,0.75760,0.75886,0.75682,0.75758,AUD_USD
31,750,2017-06-15T17:00:00.000000000Z,0.75764,0.75856,0.75736,0.75792,AUD_USD
32,1719,2017-06-15T21:00:00.000000000Z,0.75772,0.75972,0.75772,0.75913,AUD_USD
33,1328,2017-06-16T01:00:00.000000000Z,0.75914,0.75999,0.75824,0.75836,AUD_USD
34,1595,2017-06-16T05:00:00.000000000Z,0.75842,0.76089,0.75766,0.76062,AUD_USD
35,1238,2017-06-16T09:00:00.000000000Z,0.76062,0.76164,0.76029,0.76150,AUD_USD
36,1493,2017-06-16T13:00:00.000000000Z,0.76146,0.76272,0.76110,0.76250,AUD_USD
37,765,2017-06-16T17:00:00.000000000Z,0.76245,0.76301,0.76172,0.76221,AUD_USD
38,1391,2017-06-18T21:00:00.000000000Z,0.76198,0.76250,0.76144,0.76214,AUD_USD
39,931,2017-06-19T01:00:00.000000000Z,0.76218,0.76293,0.76178,0.76181,AUD_USD
40,1639,2017-06-19T05:00:00.000000000Z,0.76185,0.76200,0.75853,0.75992,AUD_USD
41,1491,2017-06-19T09:00:00.000000000Z,0.75998,0.76183,0.75976,0.75999,AUD_USD
42,1329,2017-06-19T13:00:00.000000000Z,0.76000,0.76080,0.75937,0.75997,AUD_USD
43,410,2017-06-19T17:00:00.000000000Z,0.75991,0.75994,0.75937,0.75986,AUD_USD
44,1403,2017-06-19T21:00:00.000000000Z,0.76008,0.76087,0.75887,0.75887,AUD_USD
45,1078,2017-06-20T01:00:00.000000000Z,0.75890,0.76025,0.75854,0.75948,AUD_USD
46,1300,2017-06-20T05:00:00.000000000Z,0.75952,0.76238,0.75952,0.76209,AUD_USD
47,1036,2017-06-20T09:00:00.000000000Z,0.76206,0.76224,0.75976,0.76016,AUD_USD
48,1416,2017-06-20T13:00:00.000000000Z,0.76022,0.76023,0.75706,0.75784,AUD_USD
49,587,2017-06-20T17:00:00.000000000Z,0.75780,0.75834,0.75720,0.75800,AUD_USD
50,1387,2017-06-20T21:00:00.000000000Z,0.75812,0.75866,0.75630,0.75686,AUD_USD
51,1053,2017-06-21T01:00:00.000000000Z,0.75689,0.75794,0.75548,0.75568,AUD_USD
52,1412,2017-06-21T05:00:00.000000000Z,0.75571,0.75697,0.75496,0.75616,AUD_USD
53,1277,2017-06-21T09:00:00.000000000Z,0.75612,0.75751,0.75581,0.75628,AUD_USD
54,1549,2017-06-21T13:00:00.000000000Z,0.75623,0.75642,0.75432,0.75474,AUD_USD
55,940,2017-06-21T17:00:00.000000000Z,0.75470,0.75592,0.75452,0.75528,AUD_USD
56,2418,2017-06-21T21:00:00.000000000Z,0.75539,0.75749,0.75460,0.75570,AUD_USD
57,747,2017-06-22T01:00:00.000000000Z,0.75564,0.75564,0.75413,0.75542,AUD_USD
58,1135,2017-06-22T05:00:00.000000000Z,0.75542,0.75609,0.75436,0.75470,AUD_USD
59,1311,2017-06-22T09:00:00.000000000Z,0.75465,0.75596,0.75352,0.75478,AUD_USD
60,1449,2017-06-22T13:00:00.000000000Z,0.75478,0.75492,0.75379,0.75436,AUD_USD
61,638,2017-06-22T17:00:00.000000000Z,0.75432,0.75454,0.75362,0.75414,AUD_USD
