,volume,time,Open,High,Low,Close,Pair
0,853,2019-11-08T12:00:00.000000000Z,1.10292,1.10340,1.10280,1.10320,EUR_USD
1,817,2019-11-08T13:00:00.000000000Z,1.10322,1.10376,1.10304,1.10304,EUR_USD
2,963,2019-11-08T14:00:00.000000000Z,1.10307,1.10328,1.10242,1.10275,EUR_USD
3,1433,2019-11-08T15:00:00.000000000Z,1.10272,1.10290,1.10198,1.10217,EUR_USD
4,708,2019-11-08T16:00:00.000000000Z,1.10220,1.10228,1.10173,1.10189,EUR_USD
5,318,2019-11-08T17:00:00.000000000Z,1.10187,1.10214,1.10168,1.10200,EUR_USD
6,166,2019-11-08T18:00:00.000000000Z,1.10202,1.10236,1.10184,1.10204,EUR_USD
7,202,2019-11-08T19:00:00.000000000Z,1.10207,1.10245,1.10204,1.10237,EUR_USD
8,190,2019-11-08T20:00:00.000000000Z,1.10235,1.10237,1.10202,1.10216,EUR_USD
9,142,2019-11-08T21:00:00.000000000Z,1.10214,1.10227,1.10191,1.10192,EUR_USD
10,77,2019-11-10T22:00:00.000000000Z,1.10246,1.10246,1.10196,1.10204,EUR_USD
11,58,2019-11-10T23:00:00.000000000Z,1.10202,1.10229,1.10202,1.10220,EUR_USD
12,160,2019-11-11T00:00:00.000000000Z,1.10218,1.10237,1.10164,1.10180,EUR_USD
13,143,2019-11-11T01:00:00.000000000Z,1.10182,1.10216,1.10178,1.10183,EUR_USD
14,97,2019-11-11T02:00:00.000000000Z,1.10181,1.10234,1.10172,1.10232,EUR_USD
15,70,2019-11-11T03:00:00.000000000Z,1.10229,1.10240,1.10216,1.10228,EUR_USD
16,65,2019-11-11T04:00:00.000000000Z,1.10230,1.10245,1.10217,1.10239,EUR_USD
17,55,2019-11-11T05:00:00.000000000Z,1.10242,1.10254,1.10236,1.10254,EUR_USD
18,189,2019-11-11T06:00:00.000000000Z,1.10254,1.10258,1.10217,1.10254,EUR_USD
19,485,2019-11-11T07:00:00.000000000Z,1.10256,1.10298,1.10246,1.10298,EUR_USD
20,572,2019-11-11T08:00:00.000000000Z,1.10300,1.10305,1.10210,1.10291,EUR_USD
21,628,2019-11-11T09:00:00.000000000Z,1.10289,1.10334,1.10257,1.10296,EUR_USD
22,408,2019-11-11T10:00:00.000000000Z,1.10294,1.10356,1.10284,1.10338,EUR_USD
23,401,2019-11-11T11:00:00.000000000Z,1.10335,1.10346,1.10257,1.10265,EUR_USD
24,762,2019-11-11T12:00:00.000000000Z,1.10263,1.10400,1.10258,1.10384,EUR_USD
25,433,2019-11-11T13:00:00.000000000Z,1.10386,1.10430,1.10368,1.10385,EUR_USD
26,580,2019-11-11T14:00:00.000000000Z,1.10382,1.10394,1.10319,1.10362,EUR_USD
27,608,2019-11-11T15:00:00.000000000Z,1.10365,1.10365,1.10310,1.10348,EUR_USD
28,493,2019-11-11T16:00:00.000000000Z,1.10346,1.10416,1.10336,1.10370,EUR_USD
29,240,2019-11-11T17:00:00.000000000Z,1.10368,1.10388,1.10340,1.10388,EUR_USD
30,189,2019-11-11T18:00:00.000000000Z,1.10390,1.10392,1.10366,1.10370,EUR_USD
31,216,2019-11-11T19:00:00.000000000Z,1.10368,1.10394,1.10337,1.10337,EUR_USD
32,145,2019-11-11T20:00:00.000000000Z,1.10339,1.10352,1.10324,1.10326,EUR_USD
33,78,2019-11-11T21:00:00.000000000Z,1.10328,1.10339,1.10312,1.10332,EUR_USD
34,42,2019-11-11T22:00:00.000000000Z,1.10332,1.10333,1.10318,1.10320,EUR_USD
35,71,2019-11-11T23:00:00.000000000Z,1.10322,1.10354,1.10322,1.10348,EUR_USD
36,151,2019-11-12T00:00:00.000000000Z,1.10346,1.10378,1.10330,1.10343,EUR_USD
37,142,2019-11-12T01:00:00.000000000Z,1.10345,1.10352,1.10282,1.10283,EUR_USD
38,159,2019-11-12T02:00:00.000000000Z,1.10280,1.10300,1.10266,1.10286,EUR_USD
39,132,2019-11-12T03:00:00.000000000Z,1.10282,1.10339,1.10278,1.10320,EUR_USD
40,94,2019-11-12T04:00:00.000000000Z,1.10322,1.10348,1.10322,1.10342,EUR_USD
41,119,2019-11-12T05:00:00.000000000Z,1.10340,1.10360,1.10326,1.10350,EUR_USD
42,267,2019-11-12T06:00:00.000000000Z,1.10350,1.10386,1.10334,1.10339,EUR_USD
43,556,2019-11-12T07:00:00.000000000Z,1.10342,1.10356,1.10272,1.10281,EUR_USD
44,806,2019-11-12T08:00:00.000000000Z,1.10284,1.10296,1.10190,1.10244,EUR_USD
45,669,2019-11-12T09:00:00.000000000Z,1.10242,1.10358,1.10239,1.10332,EUR_USD
46,698,2019-11-12T10:00:00.000000000Z,1.10334,1.10366,1.10207,1.10236,EUR_USD
47,565,2019-11-12T11:00:00.000000000Z,1.10238,1.10238,1.10130,1.10176,EUR_USD
