,volume,time,Open,High,Low,Close,Pair
0,819,2020-08-05T09:40:00.000000000Z,1.18427,1.18514,1.18424,1.18510,EUR_USD
1,971,2020-08-05T09:45:00.000000000Z,1.18512,1.18616,1.18508,1.18588,EUR_USD
2,690,2020-08-05T09:50:00.000000000Z,1.18588,1.18615,1.18557,1.18574,EUR_USD
3,713,2020-08-05T09:55:00.000000000Z,1.18576,1.18595,1.18559,1.18566,EUR_USD
4,781,2020-08-05T10:00:00.000000000Z,1.18564,1.18602,1.18542,1.18602,EUR_USD
5,541,2020-08-05T10:05:00.000000000Z,1.18601,1.18618,1.18581,1.18586,EUR_USD
6,743,2020-08-05T10:10:00.000000000Z,1.18585,1.18592,1.18532,1.18532,EUR_USD
7,813,2020-08-05T10:15:00.000000000Z,1.18533,1.18554,1.18480,1.18515,EUR_USD
8,454,2020-08-05T10:20:00.000000000Z,1.18514,1.18541,1.18502,1.18533,EUR_USD
9,381,2020-08-05T10:25:00.000000000Z,1.18534,1.18558,1.18512,1.18532,EUR_USD
10,390,2020-08-05T10:30:00.000000000Z,1.18534,1.18550,1.18488,1.18489,EUR_USD
11,585,2020-08-05T10:35:00.000000000Z,1.18488,1.18504,1.18427,1.18452,EUR_USD
12,541,2020-08-05T10:40:00.000000000Z,1.18452,1.18490,1.18450,1.18465,EUR_USD
13,519,2020-08-05T10:45:00.000000000Z,1.18464,1.18477,1.18412,1.18414,EUR_USD
14,444,2020-08-05T10:50:00.000000000Z,1.18412,1.18422,1.18341,1.18356,EUR_USD
15,298,2020-08-05T10:55:00.000000000Z,1.18357,1.18384,1.18313,1.18336,EUR_USD
16,523,2020-08-05T11:00:00.000000000Z,1.18334,1.18404,1.18329,1.18388,EUR_USD
17,432,2020-08-05T11:05:00.000000000Z,1.18388,1.18398,1.18367,1.18388,EUR_USD
18,520,2020-08-05T11:10:00.000000000Z,1.18388,1.18418,1.18346,1.18382,EUR_USD
19,485,2020-08-05T11:15:00.000000000Z,1.18384,1.18412,1.18374,1.18384,EUR_USD
