,volume,time,Open,High,Low,Close,Pair
0,696,2019-11-08T12:00:00.000000000Z,1.28026,1.28118,1.28002,1.28044,GBP_USD
1,764,2019-11-08T13:00:00.000000000Z,1.28040,1.28136,1.28023,1.28057,GBP_USD
2,928,2019-11-08T14:00:00.000000000Z,1.28054,1.28218,1.28050,1.28188,GBP_USD
3,1239,2019-11-08T15:00:00.000000000Z,1.28185,1.28214,1.27932,1.27943,GBP_USD
4,789,2019-11-08T16:00:00.000000000Z,1.27940,1.27984,1.27816,1.27886,GBP_USD
5,576,2019-11-08T17:00:00.000000000Z,1.27883,1.27886,1.27698,1.27714,GBP_USD
6,327,2019-11-08T18:00:00.000000000Z,1.27711,1.27842,1.27690,1.27784,GBP_USD
7,198,2019-11-08T19:00:00.000000000Z,1.27787,1.27843,1.27774,1.27836,GBP_USD
8,185,2019-11-08T20:00:00.000000000Z,1.27833,1.27853,1.27816,1.27832,GBP_USD
9,418,2019-11-08T21:00:00.000000000Z,1.27836,1.27878,1.27746,1.27754,GBP_USD
10,78,2019-11-10T22:00:00.000000000Z,1.28004,1.28016,1.27887,1.27906,GBP_USD
11,106,2019-11-10T23:00:00.000000000Z,1.27903,1.27959,1.27896,1.27948,GBP_USD
12,147,2019-11-11T00:00:00.000000000Z,1.27945,1.27979,1.27930,1.27976,GBP_USD
13,113,2019-11-11T01:00:00.000000000Z,1.27972,1.27972,1.27912,1.27912,GBP_USD
14,156,2019-11-11T02:00:00.000000000Z,1.27916,1.27957,1.27860,1.27944,GBP_USD
15,61,2019-11-11T03:00:00.000000000Z,1.27940,1.27940,1.27886,1.27896,GBP_USD
16,113,2019-11-11T04:00:00.000000000Z,1.27893,1.27940,1.27863,1.27940,GBP_USD
17,142,2019-11-11T05:00:00.000000000Z,1.27944,1.27987,1.27914,1.27984,GBP_USD
18,211,2019-11-11T06:00:00.000000000Z,1.27984,1.27992,1.27922,1.27968,GBP_USD
19,714,2019-11-11T07:00:00.000000000Z,1.27971,1.28094,1.27954,1.28054,GBP_USD
20,786,2019-11-11T08:00:00.000000000Z,1.28056,1.28080,1.27948,1.28058,GBP_USD
21,882,2019-11-11T09:00:00.000000000Z,1.28066,1.28076,1.27933,1.28032,GBP_USD
22,746,2019-11-11T10:00:00.000000000Z,1.28029,1.28208,1.27994,1.28193,GBP_USD
23,684,2019-11-11T11:00:00.000000000Z,1.28190,1.28324,1.28190,1.28302,GBP_USD
24,3186,2019-11-11T12:00:00.000000000Z,1.28306,1.28978,1.28256,1.28802,GBP_USD
25,880,2019-11-11T13:00:00.000000000Z,1.28800,1.28854,1.28714,1.28714,GBP_USD
26,721,2019-11-11T14:00:00.000000000Z,1.28712,1.28856,1.28706,1.28828,GBP_USD
27,860,2019-11-11T15:00:00.000000000Z,1.28824,1.28824,1.28639,1.28752,GBP_USD
28,890,2019-11-11T16:00:00.000000000Z,1.28748,1.28764,1.28532,1.28588,GBP_USD
29,330,2019-11-11T17:00:00.000000000Z,1.28585,1.28616,1.28526,1.28584,GBP_USD
30,278,2019-11-11T18:00:00.000000000Z,1.28587,1.28591,1.28526,1.28544,GBP_USD
31,272,2019-11-11T19:00:00.000000000Z,1.28540,1.28555,1.28495,1.28549,GBP_USD
32,258,2019-11-11T20:00:00.000000000Z,1.28545,1.28568,1.28489,1.28538,GBP_USD
33,161,2019-11-11T21:00:00.000000000Z,1.28535,1.28558,1.28492,1.28547,GBP_USD
34,684,2019-11-11T22:00:00.000000000Z,1.28537,1.28620,1.28530,1.28564,GBP_USD
35,239,2019-11-11T23:00:00.000000000Z,1.28559,1.28566,1.28522,1.28540,GBP_USD
36,370,2019-11-12T00:00:00.000000000Z,1.28536,1.28666,1.28534,1.28603,GBP_USD
37,200,2019-11-12T01:00:00.000000000Z,1.28600,1.28643,1.28558,1.28570,GBP_USD
38,159,2019-11-12T02:00:00.000000000Z,1.28566,1.28600,1.28523,1.28555,GBP_USD
39,193,2019-11-12T03:00:00.000000000Z,1.28552,1.28626,1.28520,1.28583,GBP_USD
40,169,2019-11-12T04:00:00.000000000Z,1.28586,1.28626,1.28568,1.28608,GBP_USD
41,170,2019-11-12T05:00:00.000000000Z,1.28604,1.28656,1.28574,1.28624,GBP_USD
42,276,2019-11-12T06:00:00.000000000Z,1.28624,1.28658,1.28578,1.28598,GBP_USD
43,590,2019-11-12T07:00:00.000000000Z,1.28594,1.28612,1.28446,1.28482,GBP_USD
44,1292,2019-11-12T08:00:00.000000000Z,1.28479,1.28482,1.28219,1.28234,GBP_USD
45,1419,2019-11-12T09:00:00.000000000Z,1.28231,1.28425,1.28156,1.28391,GBP_USD
46,767,2019-11-12T10:00:00.000000000Z,1.28394,1.28436,1.28294,1.28340,GBP_USD
47,662,2019-11-12T11:00:00.000000000Z,1.28336,1.28374,1.28242,1.28352,GBP_USD
48,702,2019-11-12T12:00:00.000000000Z,1.28349,1.28384,1.28256,1.28348,GBP_USD
49,547,2019-11-12T13:00:00.000000000Z,1.28344,1.28392,1.28318,1.28382,GBP_USD
50,806,2019-11-12T14:00:00.000000000Z,1.28378,1.28510,1.28367,1.28445,GBP_USD
51,879,2019-11-12T15:00:00.000000000Z,1.28449,1.28466,1.28350,1.28388,GBP_USD
52,874,2019-11-12T16:00:00.000000000Z,1.28392,1.28582,1.28364,1.28542,GBP_USD
53,1133,2019-11-12T17:00:00.000000000Z,1.28546,1.28740,1.28538,1.28574,GBP_USD
54,451,2019-11-12T18:00:00.000000000Z,1.28577,1.28618,1.28517,1.28527,GBP_USD
