,volume,time,Open,High,Low,Close,Pair
0,479,2019-11-08T12:00:00.000000000Z,0.63314,0.63378,0.63296,0.63312,NZD_USD
1,549,2019-11-08T13:00:00.000000000Z,0.63309,0.63360,0.63286,0.63340,NZD_USD
2,528,2019-11-08T14:00:00.000000000Z,0.63337,0.63352,0.63253,0.63280,NZD_USD
3,898,2019-11-08T15:00:00.000000000Z,0.63283,0.63386,0.63282,0.63357,NZD_USD
4,430,2019-11-08T16:00:00.000000000Z,0.63354,0.63360,0.63284,0.63316,NZD_USD
5,224,2019-11-08T17:00:00.000000000Z,0.63313,0.63313,0.63222,0.63243,NZD_USD
6,130,2019-11-08T18:00:00.000000000Z,0.63246,0.63276,0.63226,0.63264,NZD_USD
7,102,2019-11-08T19:00:00.000000000Z,0.63266,0.63286,0.63246,0.63257,NZD_USD
8,76,2019-11-08T20:00:00.000000000Z,0.63255,0.63290,0.63252,0.63290,NZD_USD
9,128,2019-11-08T21:00:00.000000000Z,0.63288,0.63290,0.63264,0.63286,NZD_USD
10,142,2019-11-10T22:00:00.000000000Z,0.63380,0.63395,0.63272,0.63275,NZD_USD
11,191,2019-11-10T23:00:00.000000000Z,0.63272,0.63346,0.63272,0.63310,NZD_USD
12,187,2019-11-11T00:00:00.000000000Z,0.63308,0.63378,0.63308,0.63374,NZD_USD
13,262,2019-11-11T01:00:00.000000000Z,0.63378,0.63435,0.63364,0.63400,NZD_USD
14,192,2019-11-11T02:00:00.000000000Z,0.63398,0.63454,0.63374,0.63431,NZD_USD
15,142,2019-11-11T03:00:00.000000000Z,0.63434,0.63495,0.63424,0.63459,NZD_USD
16,90,2019-11-11T04:00:00.000000000Z,0.63461,0.63478,0.63434,0.63462,NZD_USD
17,98,2019-11-11T05:00:00.000000000Z,0.63459,0.63492,0.63452,0.63488,NZD_USD
18,258,2019-11-11T06:00:00.000000000Z,0.63486,0.63494,0.63424,0.63464,NZD_USD
