,volume,time,Open,High,Low,Close,Pair
0,624,2020-04-06T16:00:00.000000000Z,0.59486,0.59488,0.59360,0.59434,NZD_USD
1,552,2020-04-06T16:30:00.000000000Z,0.59432,0.59434,0.59368,0.59428,NZD_USD
2,385,2020-04-06T17:00:00.000000000Z,0.59426,0.59441,0.59344,0.59364,NZD_USD
3,284,2020-04-06T17:30:00.000000000Z,0.59366,0.59410,0.59332,0.59407,NZD_USD
4,217,2020-04-06T18:00:00.000000000Z,0.59410,0.59421,0.59356,0.59378,NZD_USD
5,264,2020-04-06T18:30:00.000000000Z,0.59376,0.59402,0.59324,0.59350,NZD_USD
6,604,2020-04-06T19:00:00.000000000Z,0.59348,0.59364,0.59266,0.59314,NZD_USD
7,517,2020-04-06T19:30:00.000000000Z,0.59316,0.59350,0.59275,0.59326,NZD_USD
8,254,2020-04-06T20:00:00.000000000Z,0.59328,0.59369,0.59290,0.59298,NZD_USD
9,194,2020-04-06T20:30:00.000000000Z,0.59296,0.59352,0.59273,0.59333,NZD_USD
10,161,2020-04-06T21:00:00.000000000Z,0.59333,0.59333,0.59286,0.59300,NZD_USD
11,149,2020-04-06T21:30:00.000000000Z,0.59304,0.59327,0.59245,0.59264,NZD_USD
12,273,2020-04-06T22:00:00.000000000Z,0.59268,0.59363,0.59199,0.59243,NZD_USD
13,274,2020-04-06T22:30:00.000000000Z,0.59240,0.59302,0.59228,0.59264,NZD_USD
14,362,2020-04-06T23:00:00.000000000Z,0.59262,0.59389,0.59246,0.59375,NZD_USD
15,761,2020-04-06T23:30:00.000000000Z,0.59372,0.59554,0.59351,0.59469,NZD_USD
16,525,2020-04-07T00:00:00.000000000Z,0.59471,0.59551,0.59459,0.59497,NZD_USD
17,656,2020-04-07T00:30:00.000000000Z,0.59499,0.59508,0.59354,0.59410,NZD_USD
18,598,2020-04-07T01:00:00.000000000Z,0.59412,0.59542,0.59384,0.59488,NZD_USD
19,791,2020-04-07T01:30:00.000000000Z,0.59486,0.59612,0.59470,0.59562,NZD_USD
20,602,2020-04-07T02:00:00.000000000Z,0.59560,0.59640,0.59538,0.59568,NZD_USD
21,503,2020-04-07T02:30:00.000000000Z,0.59565,0.59614,0.59516,0.59573,NZD_USD
22,456,2020-04-07T03:00:00.000000000Z,0.59575,0.59646,0.59540,0.59640,NZD_USD
23,623,2020-04-07T03:30:00.000000000Z,0.59637,0.59640,0.59519,0.59530,NZD_USD
24,603,2020-04-07T04:00:00.000000000Z,0.59528,0.59676,0.59488,0.59676,NZD_USD
25,1548,2020-04-07T04:30:00.000000000Z,0.59671,0.59868,0.59584,0.59830,NZD_USD
26,890,2020-04-07T05:00:00.000000000Z,0.59833,0.59860,0.59766,0.59796,NZD_USD
27,648,2020-04-07T05:30:00.000000000Z,0.59794,0.59904,0.59773,0.59823,NZD_USD
28,571,2020-04-07T06:00:00.000000000Z,0.59821,0.59990,0.59809,0.59964,NZD_USD
29,739,2020-04-07T06:30:00.000000000Z,0.59966,0.60007,0.59879,0.59988,NZD_USD
30,889,2020-04-07T07:00:00.000000000Z,0.59986,0.60156,0.59969,0.60058,NZD_USD
31,742,2020-04-07T07:30:00.000000000Z,0.60060,0.60066,0.59988,0.60014,NZD_USD
32,587,2020-04-07T08:00:00.000000000Z,0.60016,0.60025,0.59876,0.59895,NZD_USD
33,794,2020-04-07T08:30:00.000000000Z,0.59898,0.59911,0.59766,0.59792,NZD_USD
34,723,2020-04-07T09:00:00.000000000Z,0.59789,0.59890,0.59789,0.59802,NZD_USD
35,666,2020-04-07T09:30:00.000000000Z,0.59799,0.59828,0.59722,0.59802,NZD_USD
36,789,2020-04-07T10:00:00.000000000Z,0.59805,0.59960,0.59792,0.59838,NZD_USD
37,660,2020-04-07T10:30:00.000000000Z,0.59840,0.59896,0.59811,0.59822,NZD_USD
38,584,2020-04-07T11:00:00.000000000Z,0.59819,0.59888,0.59792,0.59808,NZD_USD
39,431,2020-04-07T11:30:00.000000000Z,0.59804,0.59932,0.59796,0.59896,NZD_USD
40,567,2020-04-07T12:00:00.000000000Z,0.59898,0.60085,0.59898,0.60044,NZD_USD
41,709,2020-04-07T12:30:00.000000000Z,0.60046,0.60110,0.59983,0.59996,NZD_USD
42,1167,2020-04-07T13:00:00.000000000Z,0.59994,0.60133,0.59914,0.60117,NZD_USD
43,1100,2020-04-07T13:30:00.000000000Z,0.60120,0.60128,0.60015,0.60074,NZD_USD
44,1012,2020-04-07T14:00:00.000000000Z,0.60072,0.60080,0.59866,0.59934,NZD_USD
