,volume,time,Open,High,Low,Close,Pair
0,9632,2017-06-14T21:00:00.000000000Z,1.32450,1.32525,1.32328,1.32386,USD_CAD
1,7277,2017-06-15T01:00:00.000000000Z,1.32386,1.32488,1.32250,1.32338,USD_CAD
2,14073,2017-06-15T05:00:00.000000000Z,1.32337,1.32581,1.32334,1.32522,USD_CAD
3,21384,2017-06-15T09:00:00.000000000Z,1.32516,1.32941,1.32480,1.32833,USD_CAD
4,23658,2017-06-15T13:00:00.000000000Z,1.32834,1.33086,1.32670,1.32869,USD_CAD
5,9512,2017-06-15T17:00:00.000000000Z,1.32869,1.32921,1.32612,1.32682,USD_CAD
6,7550,2017-06-15T21:00:00.000000000Z,1.32664,1.32725,1.32538,1.32560,USD_CAD
7,6564,2017-06-16T01:00:00.000000000Z,1.32555,1.32710,1.32501,1.32706,USD_CAD
8,10524,2017-06-16T05:00:00.000000000Z,1.32707,1.32732,1.32404,1.32458,USD_CAD
9,12947,2017-06-16T09:00:00.000000000Z,1.32458,1.32542,1.32214,1.32420,USD_CAD
10,15184,2017-06-16T13:00:00.000000000Z,1.32422,1.32622,1.32220,1.32302,USD_CAD
11,8480,2017-06-16T17:00:00.000000000Z,1.32302,1.32364,1.32102,1.32126,USD_CAD
12,5427,2017-06-18T21:00:00.000000000Z,1.32178,1.32259,1.32096,1.32248,USD_CAD
13,4502,2017-06-19T01:00:00.000000000Z,1.32248,1.32280,1.32126,1.32190,USD_CAD
14,8069,2017-06-19T05:00:00.000000000Z,1.32186,1.32528,1.32168,1.32431,USD_CAD
15,11794,2017-06-19T09:00:00.000000000Z,1.32431,1.32452,1.32201,1.32311,USD_CAD
16,16730,2017-06-19T13:00:00.000000000Z,1.32310,1.32580,1.31914,1.32184,USD_CAD
17,9825,2017-06-19T17:00:00.000000000Z,1.32183,1.32370,1.32103,1.32198,USD_CAD
18,4664,2017-06-19T21:00:00.000000000Z,1.32167,1.32293,1.32148,1.32267,USD_CAD
19,4284,2017-06-20T01:00:00.000000000Z,1.32267,1.32267,1.32144,1.32218,USD_CAD
20,8155,2017-06-20T05:00:00.000000000Z,1.32218,1.32286,1.32040,1.32123,USD_CAD
21,15232,2017-06-20T09:00:00.000000000Z,1.32124,1.32839,1.32123,1.32662,USD_CAD
22,15316,2017-06-20T13:00:00.000000000Z,1.32663,1.32850,1.32537,1.32696,USD_CAD
23,8456,2017-06-20T17:00:00.000000000Z,1.32690,1.32706,1.32502,1.32677,USD_CAD
24,4729,2017-06-20T21:00:00.000000000Z,1.32659,1.32836,1.32642,1.32824,USD_CAD
25,3716,2017-06-21T01:00:00.000000000Z,1.32819,1.32819,1.32690,1.32780,USD_CAD
26,8821,2017-06-21T05:00:00.000000000Z,1.32780,1.33022,1.32712,1.32916,USD_CAD
27,12815,2017-06-21T09:00:00.000000000Z,1.32916,1.33014,1.32726,1.32918,USD_CAD
28,23909,2017-06-21T13:00:00.000000000Z,1.32918,1.33448,1.32768,1.33354,USD_CAD
29,13651,2017-06-21T17:00:00.000000000Z,1.33360,1.33480,1.33078,1.33343,USD_CAD
30,6282,2017-06-21T21:00:00.000000000Z,1.33343,1.33382,1.33188,1.33200,USD_CAD
31,5120,2017-06-22T01:00:00.000000000Z,1.33200,1.33289,1.33184,1.33230,USD_CAD
32,7885,2017-06-22T05:00:00.000000000Z,1.33231,1.33384,1.33162,1.33194,USD_CAD
33,15617,2017-06-22T09:00:00.000000000Z,1.33197,1.33203,1.32468,1.32564,USD_CAD
34,19465,2017-06-22T13:00:00.000000000Z,1.32562,1.32624,1.32080,1.32378,USD_CAD
