,volume,time,Open,High,Low,Close,Pair
0,33,2020-08-25T06:04:00.000000000Z,1.32253,1.32276,1.32246,1.32258,USD_CAD
1,37,2020-08-25T06:05:00.000000000Z,1.32260,1.32260,1.32232,1.32242,USD_CAD
2,12,2020-08-25T06:06:00.000000000Z,1.32244,1.32255,1.32244,1.32255,USD_CAD
3,22,2020-08-25T06:07:00.000000000Z,1.32258,1.32262,1.32242,1.32258,USD_CAD
4,18,2020-08-25T06:08:00.000000000Z,1.32256,1.32256,1.32245,1.32249,USD_CAD
5,10,2020-08-25T06:09:00.000000000Z,1.32252,1.32254,1.32247,1.32250,USD_CAD
6,10,2020-08-25T06:10:00.000000000Z,1.32248,1.32254,1.32238,1.32238,USD_CAD
7,21,2020-08-25T06:11:00.000000000Z,1.32241,1.32254,1.32238,1.32242,USD_CAD
8,19,2020-08-25T06:12:00.000000000Z,1.32240,1.32244,1.32232,1.32241,USD_CAD
9,15,2020-08-25T06:13:00.000000000Z,1.32239,1.32246,1.32232,1.32244,USD_CAD
10,11,2020-08-25T06:14:00.000000000Z,1.32246,1.32246,1.32222,1.32222,USD_CAD
11,14,2020-08-25T06:15:00.000000000Z,1.32224,1.32229,1.32220,1.32227,USD_CAD
12,23,2020-08-25T06:16:00.000000000Z,1.32225,1.32225,1.32196,1.32202,USD_CAD
13,6,2020-08-25T06:17:00.000000000Z,1.32204,1.32210,1.32204,1.32210,USD_CAD
14,17,2020-08-25T06:18:00.000000000Z,1.32208,1.32208,1.32194,1.32195,USD_CAD
15,22,2020-08-25T06:19:00.000000000Z,1.32192,1.32194,1.32179,1.32189,USD_CAD
16,14,2020-08-25T06:20:00.000000000Z,1.32192,1.32192,1.32174,1.32184,USD_CAD
17,18,2020-08-25T06:21:00.000000000Z,1.32186,1.32188,1.32174,1.32188,USD_CAD
18,12,2020-08-25T06:22:00.000000000Z,1.32191,1.32200,1.32191,1.32198,USD_CAD
19,6,2020-08-25T06:23:00.000000000Z,1.32195,1.32198,1.32190,1.32198,USD_CAD
20,27,2020-08-25T06:24:00.000000000Z,1.32195,1.32195,1.32168,1.32168,USD_CAD
21,21,2020-08-25T06:25:00.000000000Z,1.32170,1.32185,1.32168,1.32174,USD_CAD
22,19,2020-08-25T06:26:00.000000000Z,1.32176,1.32178,1.32160,1.32165,USD_CAD
23,18,2020-08-25T06:27:00.000000000Z,1.32163,1.32163,1.32152,1.32154,USD_CAD
24,22,2020-08-25T06:28:00.000000000Z,1.32152,1.32164,1.32134,1.32140,USD_CAD
25,21,2020-08-25T06:29:00.000000000Z,1.32142,1.32159,1.32142,1.32142,USD_CAD
26,15,2020-08-25T06:30:00.000000000Z,1.32140,1.32142,1.32122,1.32124,USD_CAD
27,8,2020-08-25T06:31:00.000000000Z,1.32126,1.32134,1.32124,1.32134,USD_CAD
28,12,2020-08-25T06:32:00.000000000Z,1.32132,1.32144,1.32130,1.32144,USD_CAD
29,9,2020-08-25T06:33:00.000000000Z,1.32142,1.32142,1.32134,1.32136,USD_CAD
30,16,2020-08-25T06:34:00.000000000Z,1.32134,1.32151,1.32127,1.32151,USD_CAD
31,19,2020-08-25T06:35:00.000000000Z,1.32153,1.32153,1.32136,1.32144,USD_CAD
32,23,2020-08-25T06:36:00.000000000Z,1.32142,1.32170,1.32140,1.32167,USD_CAD
33,30,2020-08-25T06:37:00.000000000Z,1.32164,1.32186,1.32160,1.32177,USD_CAD
34,31,2020-08-25T06:38:00.000000000Z,1.32174,1.32212,1.32174,1.32204,USD_CAD
35,22,2020-08-25T06:39:00.000000000Z,1.32202,1.32217,1.32196,1.32210,USD_CAD
36,18,2020-08-25T06:40:00.000000000Z,1.32212,1.32214,1.32200,1.32210,USD_CAD
37,17,2020-08-25T06:41:00.000000000Z,1.32212,1.32215,1.32205,1.32212,USD_CAD
38,27,2020-08-25T06:42:00.000000000Z,1.32215,1.32242,1.32215,1.32224,USD_CAD
39,17,2020-08-25T06:43:00.000000000Z,1.32221,1.32228,1.32212,1.32212,USD_CAD
40,14,2020-08-25T06:44:00.000000000Z,1.32210,1.32210,1.32198,1.32198,USD_CAD
41,20,2020-08-25T06:45:00.000000000Z,1.32200,1.32200,1.32184,1.32184,USD_CAD
42,6,2020-08-25T06:46:00.000000000Z,1.32186,1.32186,1.32184,1.32184,USD_CAD
43,9,2020-08-25T06:47:00.000000000Z,1.32186,1.32186,1.32174,1.32176,USD_CAD
44,12,2020-08-25T06:48:00.000000000Z,1.32178,1.32180,1.32170,1.32175,USD_CAD
45,26,2020-08-25T06:49:00.000000000Z,1.32172,1.32195,1.32172,1.32195,USD_CAD
46,13,2020-08-25T06:50:00.000000000Z,1.32198,1.32202,1.32192,1.32201,USD_CAD
47,7,2020-08-25T06:51:00.000000000Z,1.32204,1.32206,1.32198,1.32200,USD_CAD
48,17,2020-08-25T06:52:00.000000000Z,1.32202,1.32224,1.32202,1.32224,USD_CAD
49,26,2020-08-25T06:53:00.000000000Z,1.32227,1.32230,1.32217,1.32217,USD_CAD
