,volume,time,Open,High,Low,Close,Pair
0,2,2004-02-24T22:00:00.000000000Z,1.25975,1.25975,1.25975,1.25975,USD_CHF
1,2,2004-02-25T22:00:00.000000000Z,1.26775,1.26775,1.26775,1.26775,USD_CHF
2,2,2004-02-26T22:00:00.000000000Z,1.26210,1.26210,1.26210,1.26210,USD_CHF
3,2,2004-02-28T22:00:00.000000000Z,1.26240,1.26240,1.26240,1.26240,USD_CHF
4,2,2004-02-29T22:00:00.000000000Z,1.26845,1.26845,1.26845,1.26845,USD_CHF
5,2,2004-03-01T22:00:00.000000000Z,1.29535,1.29535,1.29535,1.29535,USD_CHF
6,2,2004-03-02T22:00:00.000000000Z,1.29415,1.29415,1.29415,1.29415,USD_CHF
7,2,2004-03-03T22:00:00.000000000Z,1.29345,1.29345,1.29345,1.29345,USD_CHF
8,2,2004-03-04T22:00:00.000000000Z,1.27610,1.27610,1.27610,1.27610,USD_CHF
9,2,2004-03-06T22:00:00.000000000Z,1.27480,1.27480,1.27480,1.27480,USD_CHF
10,2,2004-03-07T22:00:00.000000000Z,1.27415,1.27415,1.27415,1.27415,USD_CHF
11,2,2004-03-08T22:00:00.000000000Z,1.28245,1.28245,1.28245,1.28245,USD_CHF
12,2,2004-03-09T22:00:00.000000000Z,1.28710,1.28710,1.28710,1.28710,USD_CHF
13,2,2004-03-10T22:00:00.000000000Z,1.27020,1.27020,1.27020,1.27020,USD_CHF
14,2,2004-03-11T22:00:00.000000000Z,1.28340,1.28340,1.28340,1.28340,USD_CHF
15,2,2004-03-13T22:00:00.000000000Z,1.27930,1.27930,1.27930,1.27930,USD_CHF
16,2,2004-03-14T22:00:00.000000000Z,1.27525,1.27525,1.27525,1.27525,USD_CHF
17,2,2004-03-15T22:00:00.000000000Z,1.27825,1.27825,1.27825,1.27825,USD_CHF
18,2,2004-03-16T22:00:00.000000000Z,1.27725,1.27725,1.27725,1.27725,USD_CHF
19,2,2004-03-17T22:00:00.000000000Z,1.25690,1.25690,1.25690,1.25690,USD_CHF
20,2,2004-03-18T22:00:00.000000000Z,1.27000,1.27000,1.27000,1.27000,USD_CHF
21,2,2004-03-20T22:00:00.000000000Z,1.27010,1.27010,1.27010,1.27010,USD_CHF
22,2,2004-03-21T22:00:00.000000000Z,1.25845,1.25845,1.25845,1.25845,USD_CHF
23,2,2004-03-22T22:00:00.000000000Z,1.25885,1.25885,1.25885,1.25885,USD_CHF
24,2,2004-03-23T22:00:00.000000000Z,1.27665,1.27665,1.27665,1.27665,USD_CHF
25,2,2004-03-24T22:00:00.000000000Z,1.27965,1.27965,1.27965,1.27965,USD_CHF
26,2,2004-03-25T22:00:00.000000000Z,1.28460,1.28460,1.28460,1.28460,USD_CHF
27,2,2004-03-27T22:00:00.000000000Z,1.28480,1.28480,1.28480,1.28480,USD_CHF
28,2,2004-03-28T22:00:00.000000000Z,1.28415,1.28415,1.28415,1.28415,USD_CHF
29,2,2004-03-29T22:00:00.000000000Z,1.28160,1.28160,1.28160,1.28160,USD_CHF
30,2,2004-03-30T22:00:00.000000000Z,1.26525,1.26525,1.26525,1.26525,USD_CHF
31,2,2004-03-31T22:00:00.000000000Z,1.26345,1.26345,1.26345,1.26345,USD_CHF
32,2,2004-04-01T22:00:00.000000000Z,1.29000,1.29000,1.29000,1.29000,USD_CHF
33,2,2004-04-03T22:00:00.000000000Z,1.29130,1.29130,1.29130,1.29130,USD_CHF
34,2,2004-04-04T21:00:00.000000000Z,1.30395,1.30395,1.30395,1.30395,USD_CHF
35,2,2004-04-05T21:00:00.000000000Z,1.28945,1.28945,1.28945,1.28945,USD_CHF
36,2,2004-04-06T21:00:00.000000000Z,1.27695,1.27695,1.27695,1.27695,USD_CHF
37,2,2004-04-07T21:00:00.000000000Z,1.28205,1.28205,1.28205,1.28205,USD_CHF
38,2,2004-04-08T21:00:00.000000000Z,1.28190,1.28190,1.28190,1.28190,USD_CHF
39,2,2004-04-10T21:00:00.000000000Z,1.28180,1.28180,1.28180,1.28180,USD_CHF
40,2,2004-04-11T21:00:00.000000000Z,1.28225,1.28225,1.28225,1.28225,USD_CHF
41,2,2004-04-12T21:00:00.000000000Z,1.29955,1.29955,1.29955,1.29955,USD_CHF
42,2,2004-04-13T21:00:00.000000000Z,1.29805,1.29805,1.29805,1.29805,USD_CHF
43,2,2004-04-14T21:00:00.000000000Z,1.29515,1.29515,1.29515,1.29515,USD_CHF
44,2,2004-04-15T21:00:00.000000000Z,1.29490,1.29490,1.29490,1.29490,USD_CHF
45,2,2004-04-17T21:00:00.000000000Z,1.29100,1.29100,1.29100,1.29100,USD_CHF
46,2,2004-04-18T21:00:00.000000000Z,1.28920,1.28920,1.28920,1.28920,USD_CHF
47,2,2004-04-19T21:00:00.000000000Z,1.31155,1.31155,1.31155,1.31155,USD_CHF
48,2,2004-04-20T21:00:00.000000000Z,1.31295,1.31295,1.31295,1.31295,USD_CHF
49,2,2004-04-21T21:00:00.000000000Z,1.30855,1.30855,1.30855,1.30855,USD_CHF
50,2,2004-04-22T21:00:00.000000000Z,1.31480,1.31480,1.31480,1.31480,USD_CHF
51,2,2004-04-24T21:00:00.000000000Z,1.31760,1.31760,1.31760,1.31760,USD_CHF
52,2,2004-04-25T21:00:00.000000000Z,1.30715,1.30715,1.30715,1.30715,USD_CHF
53,2,2004-04-26T21:00:00.000000000Z,1.29875,1.29875,1.29875,1.29875,USD_CHF
54,2,2004-04-27T21:00:00.000000000Z,1.30675,1.30675,1.30675,1.30675,USD_CHF
55,2,2004-04-28T21:00:00.000000000Z,1.29295,1.29295,1.29295,1.29295,USD_CHF
56,2,2004-04-29T21:00:00.000000000Z,1.29540,1.29540,1.29540,1.29540,USD_CHF
57,2,2004-05-01T21:00:00.000000000Z,1.29510,1.29510,1.29510,1.29510,USD_CHF
58,2,2004-05-02T21:00:00.000000000Z,1.30035,1.30035,1.30035,1.30035,USD_CHF
59,2,2004-05-03T21:00:00.000000000Z,1.28135,1.28135,1.28135,1.28135,USD_CHF
60,2,2004-05-04T21:00:00.000000000Z,1.27425,1.27425,1.27425,1.27425,USD_CHF
61,2,2004-05-05T21:00:00.000000000Z,1.28365,1.28365,1.28365,1.28365,USD_CHF
62,2,2004-05-06T21:00:00.000000000Z,1.30200,1.30200,1.30200,1.30200,USD_CHF
63,2,2004-05-08T21:00:00.000000000Z,1.30270,1.30270,1.30270,1.30270,USD_CHF
64,2,2004-05-09T21:00:00.000000000Z,1.29835,1.29835,1.29835,1.29835,USD_CHF
65,2,2004-05-10T21:00:00.000000000Z,1.29635,1.29635,1.29635,1.29635,USD_CHF
66,2,2004-05-11T21:00:00.000000000Z,1.29435,1.29435,1.29435,1.29435,USD_CHF
67,2,2004-05-12T21:00:00.000000000Z,1.30195,1.30195,1.30195,1.30195,USD_CHF
68,2,2004-05-13T21:00:00.000000000Z,1.29580,1.29580,1.29580,1.29580,USD_CHF
69,2,2004-05-15T21:00:00.000000000Z,1.29610,1.29610,1.29610,1.29610,USD_CHF
70,2,2004-05-16T21:00:00.000000000Z,1.27525,1.27525,1.27525,1.27525,USD_CHF
71,2,2004-05-17T21:00:00.000000000Z,1.28325,1.28325,1.28325,1.28325,USD_CHF
72,2,2004-05-18T21:00:00.000000000Z,1.27775,1.27775,1.27775,1.27775,USD_CHF
73,2,2004-05-19T21:00:00.000000000Z,1.28520,1.28520,1.28520,1.28520,USD_CHF
74,2,2004-05-20T21:00:00.000000000Z,1.28320,1.28320,1.28320,1.28320,USD_CHF
75,2,2004-05-22T21:00:00.000000000Z,1.28260,1.28260,1.28260,1.28260,USD_CHF
76,2,2004-05-23T21:00:00.000000000Z,1.27875,1.27875,1.27875,1.27875,USD_CHF
77,2,2004-05-24T21:00:00.000000000Z,1.27195,1.27195,1.27195,1.27195,USD_CHF
78,2,2004-05-25T21:00:00.000000000Z,1.27195,1.27195,1.27195,1.27195,USD_CHF
79,2,2004-05-26T21:00:00.000000000Z,1.24555,1.24555,1.24555,1.24555,USD_CHF
80,2,2004-05-27T21:00:00.000000000Z,1.25220,1.25220,1.25220,1.25220,USD_CHF
81,2,2004-05-29T21:00:00.000000000Z,1.24900,1.24900,1.24900,1.24900,USD_CHF
82,2,2004-05-30T21:00:00.000000000Z,1.25405,1.25405,1.25405,1.25405,USD_CHF
83,2,2004-05-31T21:00:00.000000000Z,1.24635,1.24635,1.24635,1.24635,USD_CHF
84,2,2004-06-01T21:00:00.000000000Z,1.25015,1.25015,1.25015,1.25015,USD_CHF
85,2,2004-06-02T21:00:00.000000000Z,1.25005,1.25005,1.25005,1.25005,USD_CHF
86,2,2004-06-03T21:00:00.000000000Z,1.23950,1.23950,1.23950,1.23950,USD_CHF
87,2,2004-06-05T21:00:00.000000000Z,1.23850,1.23850,1.23850,1.23850,USD_CHF
88,2,2004-06-06T21:00:00.000000000Z,1.23705,1.23705,1.23705,1.23705,USD_CHF
89,2,2004-06-07T21:00:00.000000000Z,1.23785,1.23785,1.23785,1.23785,USD_CHF
90,2,2004-06-08T21:00:00.000000000Z,1.25435,1.25435,1.25435,1.25435,USD_CHF
91,2,2004-06-09T21:00:00.000000000Z,1.24550,1.24550,1.24550,1.24550,USD_CHF
92,2,2004-06-10T21:00:00.000000000Z,1.25980,1.25980,1.25980,1.25980,USD_CHF
93,2,2004-06-12T21:00:00.000000000Z,1.25990,1.25990,1.25990,1.25990,USD_CHF
94,2,2004-06-13T21:00:00.000000000Z,1.25625,1.25625,1.25625,1.25625,USD_CHF
95,2,2004-06-14T21:00:00.000000000Z,1.24955,1.24955,1.24955,1.24955,USD_CHF
96,2,2004-06-15T21:00:00.000000000Z,1.26645,1.26645,1.26645,1.26645,USD_CHF
97,2,2004-06-16T21:00:00.000000000Z,1.25240,1.25240,1.25240,1.25240,USD_CHF
98,2,2004-06-17T21:00:00.000000000Z,1.24480,1.24480,1.24480,1.24480,USD_CHF
99,2,2004-06-19T21:00:00.000000000Z,1.24420,1.24420,1.24420,1.24420,USD_CHF
100,2,2004-06-20T21:00:00.000000000Z,1.24625,1.24625,1.24625,1.24625,USD_CHF
101,2,2004-06-21T21:00:00.000000000Z,1.24985,1.24985,1.24985,1.24985,USD_CHF
102,2,2004-06-22T21:00:00.000000000Z,1.25305,1.25305,1.25305,1.25305,USD_CHF
103,2,2004-06-23T21:00:00.000000000Z,1.24475,1.24475,1.24475,1.24475,USD_CHF
104,2,2004-06-24T21:00:00.000000000Z,1.24670,1.24670,1.24670,1.24670,USD_CHF
105,2,2004-06-25T21:00:00.000000000Z,1.24720,1.24720,1.24720,1.24720,USD_CHF
106,2,2004-06-27T21:00:00.000000000Z,1.24935,1.24935,1.24935,1.24935,USD_CHF
107,2,2004-06-28T21:00:00.000000000Z,1.26610,1.26610,1.26610,1.26610,USD_CHF
108,2,2004-06-29T21:00:00.000000000Z,1.24855,1.24855,1.24855,1.24855,USD_CHF
109,2,2004-06-30T21:00:00.000000000Z,1.24915,1.24915,1.24915,1.24915,USD_CHF
110,2,2004-07-01T21:00:00.000000000Z,1.23330,1.23330,1.23330,1.23330,USD_CHF
111,2,2004-07-03T21:00:00.000000000Z,1.23130,1.23130,1.23130,1.23130,USD_CHF
112,2,2004-07-04T21:00:00.000000000Z,1.23610,1.23610,1.23610,1.23610,USD_CHF
113,2,2004-07-05T21:00:00.000000000Z,1.23695,1.23695,1.23695,1.23695,USD_CHF
