,volume,time,Open,High,Low,Close,Pair
0,4559,2017-06-14T09:00:00.000000000Z,0.96890,0.97116,0.96566,0.96690,USD_CHF
1,5300,2017-06-14T13:00:00.000000000Z,0.96689,0.96771,0.96406,0.96738,USD_CHF
2,14906,2017-06-14T17:00:00.000000000Z,0.96735,0.97364,0.96556,0.97098,USD_CHF
3,2781,2017-06-14T21:00:00.000000000Z,0.97094,0.97204,0.97084,0.97096,USD_CHF
4,1239,2017-06-15T01:00:00.000000000Z,0.97096,0.97154,0.97037,0.97077,USD_CHF
5,4642,2017-06-15T05:00:00.000000000Z,0.97084,0.97384,0.97058,0.97362,USD_CHF
6,4539,2017-06-15T09:00:00.000000000Z,0.97360,0.97568,0.97308,0.97520,USD_CHF
7,4748,2017-06-15T13:00:00.000000000Z,0.97520,0.97710,0.97394,0.97511,USD_CHF
8,1498,2017-06-15T17:00:00.000000000Z,0.97517,0.97577,0.97447,0.97532,USD_CHF
9,1823,2017-06-15T21:00:00.000000000Z,0.97541,0.97572,0.97448,0.97461,USD_CHF
10,755,2017-06-16T01:00:00.000000000Z,0.97460,0.97549,0.97436,0.97536,USD_CHF
11,2467,2017-06-16T05:00:00.000000000Z,0.97536,0.97570,0.97342,0.97381,USD_CHF
12,2467,2017-06-16T09:00:00.000000000Z,0.97381,0.97549,0.97281,0.97419,USD_CHF
13,3384,2017-06-16T13:00:00.000000000Z,0.97420,0.97478,0.97271,0.97420,USD_CHF
14,2147,2017-06-16T17:00:00.000000000Z,0.97420,0.97438,0.97272,0.97350,USD_CHF
15,2776,2017-06-18T21:00:00.000000000Z,0.97292,0.97420,0.97244,0.97420,USD_CHF
16,897,2017-06-19T01:00:00.000000000Z,0.97424,0.97424,0.97340,0.97412,USD_CHF
17,2509,2017-06-19T05:00:00.000000000Z,0.97412,0.97432,0.97136,0.97176,USD_CHF
18,3259,2017-06-19T09:00:00.000000000Z,0.97182,0.97330,0.96961,0.97265,USD_CHF
19,2845,2017-06-19T13:00:00.000000000Z,0.97272,0.97492,0.97242,0.97438,USD_CHF
20,1097,2017-06-19T17:00:00.000000000Z,0.97438,0.97598,0.97438,0.97558,USD_CHF
21,2375,2017-06-19T21:00:00.000000000Z,0.97584,0.97630,0.97466,0.97600,USD_CHF
22,678,2017-06-20T01:00:00.000000000Z,0.97600,0.97602,0.97490,0.97524,USD_CHF
23,2551,2017-06-20T05:00:00.000000000Z,0.97530,0.97568,0.97382,0.97418,USD_CHF
24,2941,2017-06-20T09:00:00.000000000Z,0.97418,0.97476,0.97255,0.97420,USD_CHF
25,3089,2017-06-20T13:00:00.000000000Z,0.97418,0.97666,0.97350,0.97578,USD_CHF
26,1296,2017-06-20T17:00:00.000000000Z,0.97578,0.97632,0.97504,0.97505,USD_CHF
27,1537,2017-06-20T21:00:00.000000000Z,0.97518,0.97560,0.97420,0.97460,USD_CHF
28,322,2017-06-21T01:00:00.000000000Z,0.97457,0.97478,0.97412,0.97450,USD_CHF
29,1854,2017-06-21T05:00:00.000000000Z,0.97448,0.97502,0.97392,0.97403,USD_CHF
30,2615,2017-06-21T09:00:00.000000000Z,0.97409,0.97471,0.97344,0.97396,USD_CHF
31,2756,2017-06-21T13:00:00.000000000Z,0.97395,0.97540,0.97384,0.97398,USD_CHF
32,1563,2017-06-21T17:00:00.000000000Z,0.97394,0.97439,0.97230,0.97236,USD_CHF
33,2165,2017-06-21T21:00:00.000000000Z,0.97250,0.97302,0.97214,0.97262,USD_CHF
34,600,2017-06-22T01:00:00.000000000Z,0.97256,0.97285,0.97216,0.97230,USD_CHF
35,1732,2017-06-22T05:00:00.000000000Z,0.97230,0.97370,0.97124,0.97317,USD_CHF
36,2017,2017-06-22T09:00:00.000000000Z,0.97311,0.97429,0.97234,0.97296,USD_CHF
37,3019,2017-06-22T13:00:00.000000000Z,0.97296,0.97344,0.97130,0.97200,USD_CHF
38,1218,2017-06-22T17:00:00.000000000Z,0.97200,0.97309,0.97150,0.97170,USD_CHF
39,2234,2017-06-22T21:00:00.000000000Z,0.97266,0.97297,0.97130,0.97181,USD_CHF
40,545,2017-06-23T01:00:00.000000000Z,0.97174,0.97198,0.97055,0.97074,USD_CHF
41,1963,2017-06-23T05:00:00.000000000Z,0.97068,0.97098,0.96856,0.97038,USD_CHF
42,1886,2017-06-23T09:00:00.000000000Z,0.97044,0.97204,0.97025,0.97128,USD_CHF
43,2729,2017-06-23T13:00:00.000000000Z,0.97127,0.97136,0.96756,0.96939,USD_CHF
44,1612,2017-06-23T17:00:00.000000000Z,0.96932,0.96968,0.96872,0.96909,USD_CHF
45,1931,2017-06-25T21:00:00.000000000Z,0.96958,0.97016,0.96853,0.96943,USD_CHF
46,909,2017-06-26T01:00:00.000000000Z,0.96943,0.97010,0.96939,0.97003,USD_CHF
47,2461,2017-06-26T05:00:00.000000000Z,0.97002,0.97169,0.96869,0.97106,USD_CHF
48,3154,2017-06-26T09:00:00.000000000Z,0.97108,0.97384,0.97010,0.97057,USD_CHF
49,2521,2017-06-26T13:00:00.000000000Z,0.97051,0.97206,0.96919,0.97178,USD_CHF
50,1278,2017-06-26T17:00:00.000000000Z,0.97172,0.97279,0.97094,0.97231,USD_CHF
51,1625,2017-06-26T21:00:00.000000000Z,0.97216,0.97318,0.97169,0.97212,USD_CHF
52,595,2017-06-27T01:00:00.000000000Z,0.97214,0.97269,0.97168,0.97194,USD_CHF
53,4376,2017-06-27T05:00:00.000000000Z,0.97188,0.97329,0.96695,0.96708,USD_CHF
54,2803,2017-06-27T09:00:00.000000000Z,0.96707,0.96731,0.96478,0.96571,USD_CHF
55,4184,2017-06-27T13:00:00.000000000Z,0.96572,0.96572,0.96096,0.96247,USD_CHF
56,3146,2017-06-27T17:00:00.000000000Z,0.96246,0.96306,0.95920,0.96034,USD_CHF
57,2651,2017-06-27T21:00:00.000000000Z,0.96064,0.96106,0.95980,0.96058,USD_CHF
58,1205,2017-06-28T01:00:00.000000000Z,0.96056,0.96069,0.95938,0.96038,USD_CHF
59,4440,2017-06-28T05:00:00.000000000Z,0.96044,0.96062,0.95842,0.96048,USD_CHF
60,8356,2017-06-28T09:00:00.000000000Z,0.96046,0.96478,0.95908,0.96178,USD_CHF
61,8715,2017-06-28T13:00:00.000000000Z,0.96178,0.96190,0.95789,0.96008,USD_CHF
62,1434,2017-06-28T17:00:00.000000000Z,0.96008,0.96022,0.95902,0.95973,USD_CHF
63,1359,2017-06-28T21:00:00.000000000Z,0.95943,0.95999,0.95885,0.95895,USD_CHF
