,volume,time,Open,High,Low,Close,Pair
0,302,2020-04-06T15:30:00.000000000Z,0.97663,0.97704,0.97632,0.97693,USD_CHF
1,292,2020-04-06T16:00:00.000000000Z,0.97696,0.97805,0.97686,0.97740,USD_CHF
2,297,2020-04-06T16:30:00.000000000Z,0.97736,0.97792,0.97724,0.97740,USD_CHF
3,205,2020-04-06T17:00:00.000000000Z,0.97744,0.97860,0.97729,0.97860,USD_CHF
4,211,2020-04-06T17:30:00.000000000Z,0.97856,0.97878,0.97778,0.97798,USD_CHF
5,185,2020-04-06T18:00:00.000000000Z,0.97796,0.97852,0.97789,0.97824,USD_CHF
6,154,2020-04-06T18:30:00.000000000Z,0.97821,0.97832,0.97789,0.97832,USD_CHF
7,446,2020-04-06T19:00:00.000000000Z,0.97828,0.97914,0.97802,0.97836,USD_CHF
8,295,2020-04-06T19:30:00.000000000Z,0.97832,0.97863,0.97808,0.97827,USD_CHF
9,90,2020-04-06T20:00:00.000000000Z,0.97824,0.97850,0.97792,0.97826,USD_CHF
10,98,2020-04-06T20:30:00.000000000Z,0.97823,0.97886,0.97820,0.97886,USD_CHF
11,14,2020-04-06T21:00:00.000000000Z,0.97886,0.97906,0.97820,0.97832,USD_CHF
12,14,2020-04-06T21:30:00.000000000Z,0.97824,0.97826,0.97805,0.97826,USD_CHF
13,93,2020-04-06T22:00:00.000000000Z,0.97820,0.97939,0.97820,0.97922,USD_CHF
14,99,2020-04-06T22:30:00.000000000Z,0.97918,0.97918,0.97858,0.97912,USD_CHF
15,138,2020-04-06T23:00:00.000000000Z,0.97908,0.97916,0.97828,0.97834,USD_CHF
16,109,2020-04-06T23:30:00.000000000Z,0.97837,0.97837,0.97792,0.97832,USD_CHF
17,148,2020-04-07T00:00:00.000000000Z,0.97828,0.97832,0.97761,0.97786,USD_CHF
18,210,2020-04-07T00:30:00.000000000Z,0.97790,0.97877,0.97782,0.97838,USD_CHF
19,155,2020-04-07T01:00:00.000000000Z,0.97842,0.97876,0.97790,0.97795,USD_CHF
20,150,2020-04-07T01:30:00.000000000Z,0.97792,0.97805,0.97738,0.97748,USD_CHF
21,156,2020-04-07T02:00:00.000000000Z,0.97752,0.97768,0.97721,0.97736,USD_CHF
22,150,2020-04-07T02:30:00.000000000Z,0.97740,0.97772,0.97734,0.97762,USD_CHF
23,135,2020-04-07T03:00:00.000000000Z,0.97758,0.97778,0.97670,0.97690,USD_CHF
24,166,2020-04-07T03:30:00.000000000Z,0.97686,0.97690,0.97646,0.97666,USD_CHF
25,199,2020-04-07T04:00:00.000000000Z,0.97670,0.97689,0.97592,0.97666,USD_CHF
26,302,2020-04-07T04:30:00.000000000Z,0.97663,0.97670,0.97560,0.97592,USD_CHF
27,198,2020-04-07T05:00:00.000000000Z,0.97595,0.97643,0.97578,0.97589,USD_CHF
28,405,2020-04-07T05:30:00.000000000Z,0.97593,0.97619,0.97498,0.97619,USD_CHF
29,464,2020-04-07T06:00:00.000000000Z,0.97616,0.97683,0.97572,0.97626,USD_CHF
30,441,2020-04-07T06:30:00.000000000Z,0.97622,0.97644,0.97385,0.97406,USD_CHF
31,540,2020-04-07T07:00:00.000000000Z,0.97402,0.97422,0.97296,0.97316,USD_CHF
32,407,2020-04-07T07:30:00.000000000Z,0.97313,0.97384,0.97246,0.97294,USD_CHF
33,319,2020-04-07T08:00:00.000000000Z,0.97291,0.97384,0.97278,0.97304,USD_CHF
34,339,2020-04-07T08:30:00.000000000Z,0.97300,0.97404,0.97278,0.97285,USD_CHF
35,356,2020-04-07T09:00:00.000000000Z,0.97288,0.97352,0.97268,0.97298,USD_CHF
36,392,2020-04-07T09:30:00.000000000Z,0.97294,0.97406,0.97270,0.97320,USD_CHF
37,436,2020-04-07T10:00:00.000000000Z,0.97317,0.97317,0.97202,0.97284,USD_CHF
38,313,2020-04-07T10:30:00.000000000Z,0.97281,0.97330,0.97232,0.97321,USD_CHF
39,334,2020-04-07T11:00:00.000000000Z,0.97324,0.97400,0.97274,0.97375,USD_CHF
40,404,2020-04-07T11:30:00.000000000Z,0.97378,0.97395,0.97220,0.97234,USD_CHF
41,501,2020-04-07T12:00:00.000000000Z,0.97238,0.97292,0.96984,0.97030,USD_CHF
42,434,2020-04-07T12:30:00.000000000Z,0.97034,0.97104,0.97016,0.97056,USD_CHF
43,474,2020-04-07T13:00:00.000000000Z,0.97054,0.97116,0.96930,0.96955,USD_CHF
44,554,2020-04-07T13:30:00.000000000Z,0.96958,0.97026,0.96906,0.96964,USD_CHF
45,479,2020-04-07T14:00:00.000000000Z,0.96968,0.96989,0.96896,0.96975,USD_CHF
46,498,2020-04-07T14:30:00.000000000Z,0.96972,0.97140,0.96941,0.97134,USD_CHF
