,volume,time,Open,High,Low,Close,Pair
0,1794,2020-04-06T16:00:00.000000000Z,109.110,109.196,109.090,109.119,USD_JPY
1,1765,2020-04-06T16:30:00.000000000Z,109.118,109.153,108.996,109.019,USD_JPY
2,1473,2020-04-06T17:00:00.000000000Z,109.018,109.072,108.986,109.024,USD_JPY
3,1126,2020-04-06T17:30:00.000000000Z,109.025,109.088,109.007,109.030,USD_JPY
4,1215,2020-04-06T18:00:00.000000000Z,109.028,109.041,108.954,108.960,USD_JPY
5,1315,2020-04-06T18:30:00.000000000Z,108.962,109.070,108.932,109.057,USD_JPY
6,2162,2020-04-06T19:00:00.000000000Z,109.056,109.173,109.052,109.116,USD_JPY
7,2113,2020-04-06T19:30:00.000000000Z,109.114,109.253,109.102,109.155,USD_JPY
8,895,2020-04-06T20:00:00.000000000Z,109.156,109.165,109.093,109.125,USD_JPY
9,724,2020-04-06T20:30:00.000000000Z,109.124,109.246,109.119,109.224,USD_JPY
10,67,2020-04-06T21:00:00.000000000Z,109.224,109.249,109.222,109.224,USD_JPY
11,57,2020-04-06T21:30:00.000000000Z,109.228,109.239,109.208,109.228,USD_JPY
12,490,2020-04-06T22:00:00.000000000Z,109.222,109.280,109.199,109.264,USD_JPY
13,791,2020-04-06T22:30:00.000000000Z,109.265,109.272,109.139,109.218,USD_JPY
14,1103,2020-04-06T23:00:00.000000000Z,109.220,109.238,109.100,109.136,USD_JPY
15,1718,2020-04-06T23:30:00.000000000Z,109.134,109.228,109.078,109.130,USD_JPY
16,2819,2020-04-07T00:00:00.000000000Z,109.132,109.134,108.955,108.976,USD_JPY
17,2819,2020-04-07T00:30:00.000000000Z,108.977,109.112,108.939,109.013,USD_JPY
18,1710,2020-04-07T01:00:00.000000000Z,109.015,109.088,108.980,109.042,USD_JPY
19,1927,2020-04-07T01:30:00.000000000Z,109.040,109.057,108.832,108.890,USD_JPY
20,1957,2020-04-07T02:00:00.000000000Z,108.888,108.902,108.719,108.791,USD_JPY
21,1463,2020-04-07T02:30:00.000000000Z,108.790,108.952,108.782,108.924,USD_JPY
22,1159,2020-04-07T03:00:00.000000000Z,108.923,108.953,108.800,108.839,USD_JPY
23,1561,2020-04-07T03:30:00.000000000Z,108.841,108.842,108.739,108.782,USD_JPY
24,1479,2020-04-07T04:00:00.000000000Z,108.784,108.841,108.747,108.784,USD_JPY
25,1733,2020-04-07T04:30:00.000000000Z,108.782,108.822,108.672,108.765,USD_JPY
26,1656,2020-04-07T05:00:00.000000000Z,108.764,108.863,108.746,108.758,USD_JPY
27,2319,2020-04-07T05:30:00.000000000Z,108.759,108.836,108.721,108.836,USD_JPY
28,2468,2020-04-07T06:00:00.000000000Z,108.834,108.954,108.776,108.872,USD_JPY
29,2265,2020-04-07T06:30:00.000000000Z,108.870,108.974,108.828,108.844,USD_JPY
30,3131,2020-04-07T07:00:00.000000000Z,108.845,108.888,108.786,108.813,USD_JPY
31,3184,2020-04-07T07:30:00.000000000Z,108.814,108.954,108.801,108.878,USD_JPY
32,2516,2020-04-07T08:00:00.000000000Z,108.880,108.942,108.840,108.860,USD_JPY
33,1592,2020-04-07T08:30:00.000000000Z,108.862,108.928,108.841,108.874,USD_JPY
34,1882,2020-04-07T09:00:00.000000000Z,108.876,108.988,108.873,108.970,USD_JPY
35,1801,2020-04-07T09:30:00.000000000Z,108.972,109.103,108.950,109.060,USD_JPY
36,2020,2020-04-07T10:00:00.000000000Z,109.058,109.146,109.031,109.108,USD_JPY
37,1595,2020-04-07T10:30:00.000000000Z,109.106,109.121,108.990,109.086,USD_JPY
38,1888,2020-04-07T11:00:00.000000000Z,109.087,109.130,109.056,109.095,USD_JPY
39,2463,2020-04-07T11:30:00.000000000Z,109.096,109.104,108.945,108.959,USD_JPY
40,3018,2020-04-07T12:00:00.000000000Z,108.960,108.963,108.824,108.857,USD_JPY
41,2657,2020-04-07T12:30:00.000000000Z,108.856,109.022,108.836,108.998,USD_JPY
42,2640,2020-04-07T13:00:00.000000000Z,108.998,109.078,108.955,108.966,USD_JPY
43,3761,2020-04-07T13:30:00.000000000Z,108.965,109.062,108.938,109.014,USD_JPY
44,3927,2020-04-07T14:00:00.000000000Z,109.013,109.066,108.878,108.898,USD_JPY
45,3926,2020-04-07T14:30:00.000000000Z,108.899,109.006,108.836,108.980,USD_JPY
46,2847,2020-04-07T15:00:00.000000000Z,108.978,109.081,108.920,108.939,USD_JPY
47,2325,2020-04-07T15:30:00.000000000Z,108.938,109.035,108.931,108.976,USD_JPY
48,1890,2020-04-07T16:00:00.000000000Z,108.975,109.000,108.898,108.900,USD_JPY
49,2083,2020-04-07T16:30:00.000000000Z,108.902,108.955,108.824,108.836,USD_JPY
50,1822,2020-04-07T17:00:00.000000000Z,108.838,108.948,108.830,108.906,USD_JPY
51,1596,2020-04-07T17:30:00.000000000Z,108.907,108.990,108.907,108.929,USD_JPY
